Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name,SMILES
5694,Dairy,Cheese,51100-54-0,1-Decen-3-ol,CCCCCCCC(C=C)O
5695,Dairy,Cheese,76649-22-4,Prenyl caproate,CCCCCC(=O)OCC=C(C)C
5696,Dairy,Cheese,106-68-3,3-Octanone,CCCCCC(=O)CC
5697,Dairy,Cheese,7011-83-8,Dihydrojasmone lactone,CCCCCCC1(CCC(=O)O1)C
5698,Dairy,Cheese,2084-18-6,3-Methyl-2-butanethiol,CC(C)C(C)S
5699,Dairy,Cheese,2721-22-4,delta-Tetradecalactone,CCCCCCCCCC1CCCC(=O)O1
5700,Dairy,Cheese,63012-97-5,2-Methyl-3-(methylthio)furan,CC1=C(C=CO1)SC
5701,Dairy,Cheese,308805-43-8,3-Mercapto-3-methylbutanal,CC(C)(CC=O)S
5702,Dairy,Cheese,61837-77-2,1-(Methylthio)-3-octanone,CCCCCC(=O)CCSC
5703,Dairy,Cheese,84642-61-5,1-Methyl-2-oxopropyl butyrate,CCCC(=O)OC(C)C(=O)C
5704,Dairy,Cheese,39026-94-3,2-Heptyl butyrate,CCCCCC(C)OC(=O)CCC
5705,Dairy,Cheese,1575-74-2,2-Methyl-4-pentenoic acid,CC(CC=C)C(=O)O
5706,Dairy,Cheese,2217-33-6,Tetrahydrofurfuryl butyrate,CCCC(=O)OCC1CCCO1
5707,Dairy,Cheese,13991-37-2,2-Pentenoic acid,CC/C=C/C(=O)O
5708,Dairy,Cheese,6033-23-4,(S)-(+)-2-Heptanol,CCCCC[C@H](C)O
5709,Dairy,Cheese,6728-26-3,2-Hexenal,CCC/C=C/C=O
5710,Dairy,Cheese,28897-58-7,"2-Hexenoic acid, 2-methyl-",CCC/C=C(\C)/C(=O)O
5711,Dairy,Cheese,1577-18-0,3-Hexenoic acid,CC/C=C/CC(=O)O
5712,Dairy,Cheese,1871-67-6,2-Octenoic acid,CCCCC/C=C/C(=O)O
5713,Dairy,Cheese,1775-43-5,cis-3-Hexenoic acid,CC/C=C\CC(=O)O
5714,Dairy,Cheese,66634-97-7,"(2E)-2,4-Dimethylpent-2-enoic acid",CC(C)/C=C(\C)/C(=O)O
5715,Dairy,Cheese,5166-53-0,5-Methyl-3-hexen-2-one,CC(C)/C=C/C(=O)C
5716,Dairy,Cheese,27039-84-5,5-Nonen-2-one,CCCC=CCCC(=O)C
5717,Dairy,Cheese,1119-44-4,3-Hepten-2-one,CCC/C=C/C(=O)C
5718,Dairy,Cheese,33467-79-7,"Hepta-2,4-dien-1-ol",CC/C=C/C=C/CO
5719,Dairy,Cheese,95994-93-7,"2,4-Hexadienyl butyrate",CCCC(=O)OC/C=C/C=C/C
5720,Dairy,Cheese,32231-50-8,(R)-2-Methylbutanoic acid,CC[C@@H](C)C(=O)O
5721,Dairy,Cheese,14486-03-4,L-Methionylglycine,CSCC[C@@H](C(=O)NCC(=O)O)N
5722,Dairy,Cheese,CAS-3,(2S)-2-Methylheptanoate,CCCCC[C@H](C)C(=O)[O-]
5723,Dairy,Cheese,7563-33-9,Azanium;3-methylbutanoate,
5724,Dairy,Cheese,233665-96-8,Ethyl 3-(methylthio)butyrate,CCOC(=O)CC(C)SC
5725,Dairy,Cheese,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
5726,Dairy,Cheese,61122-71-2,S-Methyl 4-methylpentanethioate,CC(C)CCC(=O)SC
5727,Dairy,Cheese,3876-52-6,"2,4-Dimethyl-2-pentenoic acid",CC(C)C=C(C)C(=O)O
5728,Dairy,Cheese,127931-21-9,(+/-)-Isobutyl 3-methylthiobutyrate,CC(C)COC(=O)CC(C)SC
5729,Dairy,Creamy,600-18-0,2-Oxobutyric acid,CCC(=O)C(=O)O
5730,Dairy,Creamy,513-86-0,Acetoin,CC(C(=O)C)O
5731,Dairy,Creamy,123-72-8,Butyraldehyde,CCCC=O
5732,Dairy,Creamy,513-85-9,"2,3-Butanediol",CC(C(C)O)O
5733,Dairy,Creamy,431-03-8,"2,3-Butanedione",CC(=O)C(=O)C
5734,Dairy,Creamy,119-84-6,"3,4-Dihydrocoumarin",C1CC(=O)OC2=CC=CC=C21
5735,Dairy,Creamy,74-93-1,Methanethiol,CS
5736,Dairy,Creamy,2057-10-03 00:00:00,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O
5737,Dairy,Creamy,127-17-3,Pyruvic acid,CC(=O)C(=O)O
5738,Dairy,Creamy,75-18-3,Dimethyl sulfide,CSC
5739,Dairy,Creamy,121-33-5,Vanillin,COC1=C(C=CC(=C1)C=O)O
5740,Dairy,Creamy,108-46-3,Resorcinol,C1=CC(=CC(=C1)O)O
5741,Dairy,Creamy,102-76-1,Triacetin,CC(=O)OCC(COC(=O)C)OC(=O)C
5742,Dairy,Creamy,2060-01-05 00:00:00,Tributyrin,CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC
5743,Dairy,Creamy,91-16-7,"1,2-Dimethoxybenzene",COC1=CC=CC=C1OC
5744,Dairy,Creamy,91-60-1,2-Naphthalenethiol,C1=CC=C2C=C(C=CC2=C1)S
5745,Dairy,Creamy,92-48-8,6-Methylcoumarin,CC1=CC2=C(C=C1)OC(=O)C=C2
5746,Dairy,Creamy,93-15-2,Methyleugenol,COC1=C(C=C(C=C1)CC=C)OC
5747,Dairy,Creamy,96-48-0,gamma-Butyrolactone,C1CC(=O)OC1
5748,Dairy,Creamy,104-21-2,4-Methoxybenzyl acetate,CC(=O)OCC1=CC=C(C=C1)OC
5749,Dairy,Creamy,104-50-7,gamma-Octalactone,CCCCC1CCC(=O)O1
5750,Dairy,Creamy,104-61-0,gamma-Nonalactone,CCCCCC1CCC(=O)O1
5751,Dairy,Creamy,104-67-6,gamma-Undecalactone,CCCCCCCC1CCC(=O)O1
5752,Dairy,Creamy,105-13-5,4-Methoxybenzyl alcohol,COC1=CC=C(C=C1)CO
5753,Dairy,Creamy,105-21-5,gamma-Heptalactone,CCCC1CCC(=O)O1
5754,Dairy,Creamy,105-43-1,3-Methylvaleric acid,CCC(C)CC(=O)O
5755,Dairy,Creamy,105-57-7,Acetal,CCOC(C)OCC
5756,Dairy,Creamy,105-66-8,Propyl butyrate,CCCC(=O)OCCC
5757,Dairy,Creamy,106-32-1,Ethyl octanoate,CCCCCCCC(=O)OCC
5758,Dairy,Creamy,106-33-2,Ethyl laurate,CCCCCCCCCCCC(=O)OCC
5759,Dairy,Creamy,110-43-0,2-Heptanone,CCCCCC(=O)C
5760,Dairy,Creamy,111-82-0,Methyl dodecanoate,CCCCCCCCCCCC(=O)OC
5761,Dairy,Creamy,112-12-9,2-Undecanone,CCCCCCCCCC(=O)C
5762,Dairy,Creamy,112-17-4,Decyl acetate,CCCCCCCCCCOC(=O)C
5763,Dairy,Creamy,112-37-8,Undecanoic acid,CCCCCCCCCCC(=O)O
5764,Dairy,Creamy,116-53-0,2-Methylbutanoic acid,CCC(C)C(=O)O
5765,Dairy,Creamy,120-14-9,Veratraldehyde,COC1=C(C=C(C=C1)C=O)OC
5766,Dairy,Creamy,120-57-0,Piperonal,C1OC2=C(O1)C=C(C=C2)C=O
5767,Dairy,Creamy,121-32-4,Ethyl vanillin,CCOC1=C(C=CC(=C1)C=O)O
5768,Dairy,Creamy,121-34-6,Vanillic acid,COC1=C(C=CC(=C1)C(=O)O)O
5769,Dairy,Creamy,121-98-2,Methyl 4-methoxybenzoate,COC1=CC=C(C=C1)C(=O)OC
5770,Dairy,Creamy,138-22-7,Butyl lactate,CCCCOC(=O)C(C)O
5771,Dairy,Creamy,110-93-0,6-Methyl-5-hepten-2-one,CC(=CCCC(=O)C)C
5772,Dairy,Creamy,589-98-0,3-Octanol,CCCCCC(CC)O
5773,Dairy,Creamy,123-76-2,Levulinic acid,CC(=O)CCC(=O)O
5774,Dairy,Creamy,600-14-6,"2,3-Pentanedione",CCC(=O)C(=O)C
5775,Dairy,Creamy,623-42-7,Methyl butyrate,CCCC(=O)OC
5776,Dairy,Creamy,628-97-7,Ethyl palmitate,CCCCCCCCCCCCCCCC(=O)OCC
5777,Dairy,Creamy,628-99-9,2-Nonanol,CCCCCCCC(C)O
5778,Dairy,Creamy,692-86-4,Ethyl 10-undecenoate,CCOC(=O)CCCCCCCCC=C
5779,Dairy,Creamy,695-06-7,gamma-Caprolactone,CCC1CCC(=O)O1
5780,Dairy,Creamy,698-76-0,delta-Octalactone,CCCC1CCCC(=O)O1
5781,Dairy,Creamy,705-86-2,delta-Decalactone,CCCCCC1CCCC(=O)O1
5782,Dairy,Creamy,706-14-9,gamma-Decalactone,CCCCCCC1CCC(=O)O1
5783,Dairy,Creamy,713-95-1,delta-Dodecalactone,CCCCCCCC1CCCC(=O)O1
5784,Dairy,Creamy,823-22-3,delta-Hexalactone,CC1CCCC(=O)O1
5785,Dairy,Creamy,1188-02-9,2-Methylheptanoic acid,CCCCCC(C)C(=O)O
5786,Dairy,Creamy,3268-49-3,3-(Methylthio)propionaldehyde,CSCCC=O
5787,Dairy,Creamy,3301-94-8,delta-Nonalactone,CCCCC1CCCC(=O)O1
5788,Dairy,Creamy,3391-86-4,1-Octen-3-OL,CCCCCC(C=C)O
5789,Dairy,Creamy,3848-24-6,"2,3-Hexanedione",CCCC(=O)C(=O)C
5790,Dairy,Creamy,3877-15-4,Methyl propyl sulfide,CCCSC
5791,Dairy,Creamy,4430-31-3,Octahydro-2H-1-benzopyran-2-one,C1CCC2C(C1)CCC(=O)O2
5792,Dairy,Creamy,4630-82-4,Methyl cyclohexanecarboxylate,COC(=O)C1CCCCC1
5793,Dairy,Creamy,7492-70-8,"Butanoic acid, 2-butoxy-1-methyl-2-oxoethyl ester",CCCCOC(=O)C(C)OC(=O)CCC
5794,Dairy,Creamy,7493-58-5,Acetyl isobutyryl,
5795,Dairy,Creamy,13679-75-9,2-Propionylthiophene,CCC(=O)C1=CC=CS1
5796,Dairy,Creamy,13706-86-0,"5-Methyl-2,3-hexanedione",CC(C)CC(=O)C(=O)C
5797,Dairy,Creamy,122-48-5,Zingerone,CC(=O)CCC1=CC(=C(C=C1)O)OC
5798,Dairy,Creamy,122-84-9,4-Methoxyphenylacetone,CC(=O)CC1=CC=C(C=C1)OC
5799,Dairy,Creamy,123-11-5,4-Methoxybenzaldehyde,COC1=CC=C(C=C1)C=O
5800,Dairy,Creamy,124-25-4,Tetradecanal,CCCCCCCCCCCCCC=O
5801,Dairy,Creamy,126-64-7,Linalyl benzoate,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C
5802,Dairy,Creamy,27593-23-3,6-Pentyl-2H-pyran-2-one,CCCCCC1=CC=CC(=O)O1
5803,Dairy,Creamy,32210-23-4,4-Tert-Butylcyclohexyl acetate,CC(=O)OC1CCC(CC1)C(C)(C)C
5804,Dairy,Creamy,54814-64-1,Massoia lactone,CCCCCC1CC=CC(=O)O1
5805,Dairy,Creamy,55764-28-8,"2,5-Dimethyl-3-thioisovalerylfuran",CC1=CC(=C(O1)C)SC(=O)CC(C)C
5806,Dairy,Creamy,109-15-9,Octyl isobutyrate,CCCCCCCCOC(=O)C(C)C
5807,Dairy,Creamy,110-39-4,Octyl butyrate,CCCCCCCCOC(=O)CCC
5808,Dairy,Creamy,638-11-9,Isopropyl butyrate,
5809,Dairy,Creamy,710-04-3,delta-Undecalactone,CCCCCCC1CCCC(=O)O1
5810,Dairy,Creamy,762-29-8,"5,9,13-Pentadecatrien-2-one, 6,10,14-trimethyl-",CC(=CCCC(=CCCC(=CCCC(=O)C)C)C)C
5811,Dairy,Creamy,881-68-5,4-Formyl-2-methoxyphenyl acetate,CC(=O)OC1=C(C=C(C=C1)C=O)OC
5812,Dairy,Creamy,6309-51-9,Isoamyl laurate,CCCCCCCCCCCC(=O)OCCC(C)C
5813,Dairy,Creamy,7493-59-6,"Undecane-2,3-dione",CCCCCCCCC(=O)C(=O)C
5814,Dairy,Creamy,7493-72-3,Allyl nonanoate,CCCCCCCCC(=O)OCC=C
5815,Dairy,Creamy,13184-86-6,4-(Ethoxymethyl)-2-methoxyphenol,CCOCC1=CC(=C(C=C1)O)OC
5816,Dairy,Creamy,13679-61-3,Methyl 2-thiofuroate,CSC(=O)C1=CC=CO1
5817,Dairy,Creamy,14436-32-9,9-Decenoic acid,C=CCCCCCCCC(=O)O
5818,Dairy,Creamy,16400-72-9,"6-Heptyl-5,6-dihydro-2H-pyran-2-one",
5819,Dairy,Creamy,34135-85-8,Allyl methyl trisulfide,CSSSCC=C
5820,Dairy,Creamy,40923-64-6,3-Heptyldihydro-5-methyl-2(3H)-furanone,CCCCCCCC1CC(OC1=O)C
5821,Dairy,Creamy,53833-30-0,"2-Ethyl-4,5-dimethyloxazole",CCC1=NC(=C(O1)C)C
5822,Dairy,Creamy,54947-74-9,4-Methyloctanoic acid,CCCCC(C)CCC(=O)O
5823,Dairy,Creamy,498-00-0,Vanillyl alcohol,COC1=C(C=CC(=C1)CO)O
5824,Dairy,Creamy,4437-51-8,"3,4-Hexanedione",
5825,Dairy,Creamy,5579-78-2,7-Butyloxepan-2-one,CCCCC1CCCCC(=O)O1
5826,Dairy,Creamy,7779-78-4,4-Methyl-1-phenyl-2-pentanol,CC(C)CC(CC1=CC=CC=C1)O
5827,Dairy,Creamy,39251-88-2,Octyl 2-furoate,CCCCCCCCOC(=O)C1=CC=CO1
5828,Dairy,Creamy,87-55-8,Cyclotene propionate,CCC(=O)OC1=C(CCC1=O)C
5829,Dairy,Creamy,624-01-1,5-Oxodecanoic acid,CCCCCC(=O)CCCC(=O)O
5830,Dairy,Creamy,688-82-4,"1,1-Diethoxyheptane",CCCCCCC(OCC)OCC
5831,Dairy,Creamy,5978-70-1,(R)-(-)-2-Octanol,CCCCCC[C@@H](C)O
5832,Dairy,Creamy,18433-93-7,"2-Isobutyl-4-methyl-1,3-dioxolane",CC1COC(O1)CC(C)C
5833,Dairy,Creamy,19329-89-6,Isoamyl lactate,CC(C)CCOC(=O)C(C)O
5834,Dairy,Creamy,2445-76-3,Hexyl propionate,CCCCCCOC(=O)CC
5835,Dairy,Creamy,21964-44-3,1-Nonen-3-ol,CCCCCCC(C=C)O
5836,Dairy,Creamy,23147-57-1,"2,3,5,6-Tetramethyl-1,4-dioxane-2,5-diol",CC1C(OC(C(O1)(C)O)C)(C)O
5837,Dairy,Creamy,68140-48-7,Traseolide,CC1C(C2=C(C1(C)C)C=C(C(=C2)C(=O)C)C)C(C)C
5838,Dairy,Creamy,13341-72-5,Isomintlactone,CC1CCC2=C(C(=O)OC2C1)C
5839,Dairy,Creamy,6454-22-4,"2-Hexyl-4,5-dimethyl-1,3-dioxolane",CCCCCCC1OC(C(O1)C)C
5840,Dairy,Creamy,2092-49-1,Dehydrodivanillin,COC1=CC(=CC(=C1O)C2=C(C(=CC(=C2)C=O)OC)O)C=O
5841,Dairy,Creamy,65113-99-7,Sandalore,CC1=CCC(C1(C)C)CCC(C)C(C)O
5842,Dairy,Creamy,52514-66-6,"2-Methoxy-4-(4,4,6-trimethyl-1,3-dioxan-2-yl)phenol",CC1CC(OC(O1)C2=CC(=C(C=C2)O)OC)(C)C
5843,Dairy,Creamy,52514-67-7,"2-Ethoxy-4-(4,4,6-trimethyl-1,3-dioxan-2-yl)phenol",CCOC1=C(C=CC(=C1)C2OC(CC(O2)(C)C)C)O
5844,Dairy,Creamy,68527-74-2,"2-Methoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",CC1COC(O1)C2=CC(=C(C=C2)O)OC
5845,Dairy,Creamy,68527-76-4,"2-Ethoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",CCOC1=C(C=CC(=C1)C2OCC(O2)C)O
5846,Dairy,Creamy,7370-92-5,6-Octyltetrahydro-2H-pyran-2-one,CCCCCCCCC1CCCC(=O)O1
5847,Dairy,Creamy,69834-10-2,"Cyclohexanol, 2(3 or 4)-(7,7-dimethylbicyclo(2.2.1)hept-2-yl)-",CC1(C2CCC1C(C2)C3CCCCC3O)C
5848,Dairy,Creamy,5455-24-3,"4,5-Octanedione",CCCC(=O)C(=O)CCC
5849,Dairy,Creamy,72207-94-4,2-Ethoxy-4-formylphenyl acetate,CCOC1=C(C=CC(=C1)C=O)OC(=O)C
5850,Dairy,Creamy,94201-19-1,8-Methyl-1-oxaspiro[4.5]decan-2-one,CC1CCC2(CC1)CCC(=O)O2
5851,Dairy,Creamy,68165-40-2,"2,4,6-Triisobutyl-1,3,5-trioxane",CC(C)CC1OC(OC(O1)CC(C)C)CC(C)C
5852,Dairy,Creamy,7011-83-8,Dihydrojasmone lactone,CCCCCCC1(CCC(=O)O1)C
5853,Dairy,Creamy,51154-96-2,"2H-Pyran-2-one, 5,6-dihydro-6-pentyl-, (R)-",CCCCC[C@@H]1CC=CC(=O)O1
5854,Dairy,Creamy,1227-51-6,"2H-Pyran-2-one, tetrahydro-6-tridecyl-",CCCCCCCCCCCCCC1CCCC(=O)O1
5855,Dairy,Creamy,2721-22-4,delta-Tetradecalactone,CCCCCCCCCC1CCCC(=O)O1
5856,Dairy,Creamy,4906-24-5,Acetoin acetate,CC(C(=O)C)OC(=O)C
5857,Dairy,Creamy,84642-61-5,1-Methyl-2-oxopropyl butyrate,CCCC(=O)OC(C)C(=O)C
5858,Dairy,Creamy,20665-85-4,Vanillin isobutyrate,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC
5859,Dairy,Creamy,2217-33-6,Tetrahydrofurfuryl butyrate,CCCC(=O)OCC1CCCO1
5860,Dairy,Creamy,3549-23-3,Methyl p-tert-butylphenylacetate,CC(C)(C)C1=CC=C(C=C1)CC(=O)OC
5861,Dairy,Creamy,122-57-6,Benzylideneacetone,CC(=O)/C=C/C1=CC=CC=C1
5862,Dairy,Creamy,24680-50-0,4-Methoxycinnamaldehyde,COC1=CC=C(C=C1)/C=C/C=O
5863,Dairy,Creamy,43112-32-9,(R)-6-Methyltetrahydro-2H-pyran-2-one,C[C@@H]1CCCC(=O)O1
5864,Dairy,Creamy,188417-26-7,Ethyl vanillin isobutyrate,CCOC1=C(C=CC(=C1)C=O)OC(=O)C(C)C
5865,Dairy,Creamy,623-15-4,Furfural acetone,CC(=O)/C=C/C1=CC=CO1
5866,Dairy,Creamy,1117-52-8,Farnesylacetone,CC(=CCC/C(=C/CC/C(=C/CCC(=O)C)/C)/C)C
5867,Dairy,Creamy,6169-08-06 00:00:00,(S)-(+)-2-Octanol,CCCCCC[C@H](C)O
5868,Dairy,Creamy,72797-28-5,4-(Diethoxymethyl)-1-ethoxy-2-methoxybenzene,CCOC1=C(C=C(C=C1)C(OCC)OCC)OC
5869,Dairy,Creamy,3637-16-9,5-Oxododecanoic Acid,CCCCCCCC(=O)CCCC(=O)O
5870,Dairy,Creamy,82654-98-6,Vanillyl butyl ether,CCCCOCC1=CC(=C(C=C1)O)OC
5871,Dairy,Creamy,7774-82-5,2-Tridecenal,CCCCCCCCCC/C=C/C=O
5872,Dairy,Creamy,41035-07-8,"2(3H)-Furanone, 5-ethyldihydro-, (S)-",
5873,Dairy,Creamy,18679-18-0,(Z)-4-Hydroxy-6-dodecenoic acid lactone,CCCCC/C=C\CC1CCC(=O)O1
5874,Dairy,Creamy,53398-80-4,trans-2-Hexenyl propionate,CCC/C=C/COC(=O)CC
5875,Dairy,Creamy,25524-95-2,Jasmine lactone,CC/C=C\CC1CCCC(=O)O1
5876,Dairy,Creamy,1080-12-2,Dehydrozingerone,CC(=O)/C=C/C1=CC(=C(C=C1)O)OC
5877,Dairy,Creamy,94-86-0,Vanitrope,
5878,Dairy,Creamy,76649-14-4,3-Octen-2-OL,CCCC/C=C/C(C)O
5879,Dairy,Creamy,6728-31-0,cis-4-Heptenal,CC/C=C\CCC=O
5880,Dairy,Creamy,33046-81-0,7-Methyl-3-octen-2-one,CC(C)CC/C=C/C(=O)C
5881,Dairy,Creamy,1119-44-4,3-Hepten-2-one,CCC/C=C/C(=O)C
5882,Dairy,Creamy,38019-89-5,"(E)-1-(1-Ethoxyethoxy)-3,7-dimethylocta-2,6-diene",CCOC(C)OC/C=C(\C)/CCC=C(C)C
5883,Dairy,Creamy,6191-71-5,cis-4-Hepten-1-ol,CC/C=C\CCCO
5884,Dairy,Creamy,18492-65-4,4-Heptenal diethyl acetal,CC/C=C\CCC(OCC)OCC
5885,Dairy,Creamy,127-43-5,beta-Methylionone,CCC(=O)/C=C/C1=C(CCCC1(C)C)C
5886,Dairy,Creamy,63095-33-0,gamma-Jasmolactone,
5887,Dairy,Creamy,5355-63-5,3-Hydroxy-4-phenylbutan-2-one,CC(=O)C(CC1=CC=CC=C1)O
5888,Dairy,Creamy,11050-62-7,Isojasmone,
5889,Dairy,Creamy,70851-61-5,(Z)-5-Hex-3-enyldihydro-5-methylfuran-2(3H)-one,CC/C=C\CCC1(CCC(=O)O1)C
5890,Dairy,Creamy,18409-20-6,"2,4-Octadien-1-ol, (2E,4E)-",CCC/C=C/C=C/CO
5891,Dairy,Creamy,51608-18-5,2-(trans-2-Pentenyl)cyclopentanone,CC/C=C/CC1CCCC1=O
5892,Dairy,Creamy,28219-60-5,"2-Methyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-2-buten-1-ol",CC1=CCC(C1(C)C)CC=C(C)CO
5893,Dairy,Creamy,65504-97-4,"2-Hexyl-5-keto-1,4-dioxane",
5894,Dairy,Creamy,41654-15-3,"5-Octenoic acid, methyl ester, (5Z)-",CC/C=C\CCCC(=O)OC
5895,Dairy,Creamy,34451-19-9,"Propanoic acid, 2-hydroxy-, butyl ester, (2S)-",CCCCOC(=O)[C@H](C)O
5896,Dairy,Creamy,71662-27-6,Ethyl butyryl lactate,CCCC(=O)OC(C)C(=O)OCC
5897,Dairy,Creamy,68959-28-4,Jasmolactone,CC/C=C/CCC1CCCC(=O)O1
5898,Dairy,Creamy,13341-72-5,"4,7-Dimethyl-3,4,4a,5,6,7,8,8a-octahydroisochromen-1-one",
5899,Dairy,Creamy,91069-40-8,"1-Oxaspiro(4.5)decan-2-one, 8-ethyl-, cis-",CCC1CCC2(CC1)CCC(=O)O2
5900,Dairy,Creamy,74585-00-5,9-Decen-5-olide,C=CCCCC1CCCC(=O)O1
5901,Dairy,Creamy,198404-98-7,"Cyclopropanemethanol, 1-methyl-2-((1,2,2-trimethylbicyclo(3.1.0)hex-
3-yl)methyl)-",
5902,Dairy,Creamy,194934-66-2,"3S,7,11-Trimethyl-6E,10-dodecadienal",C[C@@H](CC/C=C(\C)/CCC=C(C)C)CC=O
5903,Dairy,Creamy,61122-71-2,S-Methyl 4-methylpentanethioate,CC(C)CCC(=O)SC
5904,Dairy,Creamy,852997-30-9,3-(Methylthio)propyl mercaptoacetate,CSCCCOC(=O)CS
5905,Dairy,Creamy,3876-52-6,"2,4-Dimethyl-2-pentenoic acid",CC(C)C=C(C)C(=O)O
5906,Dairy,Creamy,127931-21-9,(+/-)-Isobutyl 3-methylthiobutyrate,CC(C)COC(=O)CC(C)SC
5907,Dairy,Creamy,63253-24-7,"4-(4,5-Dimethyl-1,3-dioxolan-2-yl)-2-methoxyphenol",CC1C(OC(O1)C2=CC(=C(C=C2)O)OC)C
5908,Dairy,Creamy,41803-21-8,"3-Thiazoline, 2-ethyl-4-methyl-",CCC1N=C(CS1)C
5909,Dairy,Creamy,13341-72-5,"3,6-Dimethyl-5,6,7,7a-tetrahydro-3H-1-benzofuran-2-one",
5910,Dairy,Dairy,513-86-0,Acetoin,
5911,Dairy,Dairy,107-92-6,Butyric acid,CCCC(=O)O
5912,Dairy,Dairy,2079-09-04 00:00:00,Propionic acid,CCC(=O)O
5913,Dairy,Dairy,79-31-2,Isobutyric acid,CC(C)C(=O)O
5914,Dairy,Dairy,2088-09-05 00:00:00,2-Ethylbutyric acid,CCC(CC)C(=O)O
5915,Dairy,Dairy,104-50-7,gamma-Octalactone,CCCCC1CCC(=O)O1
5916,Dairy,Dairy,106-32-1,Ethyl octanoate,CCCCCCCC(=O)OCC
5917,Dairy,Dairy,108-10-1,Methyl isobutyl ketone,
5918,Dairy,Dairy,111-13-7,2-Octanone,CCCCCCC(=O)C
5919,Dairy,Dairy,111-62-6,Ethyl octadec-9-enoate,CCCCCCCC/C=C/CCCCCCCC(=O)OCC
5920,Dairy,Dairy,112-05-0,Nonanoic acid,CCCCCCCCC(=O)O
5921,Dairy,Dairy,121-34-6,Vanillic acid,COC1=C(C=CC(=C1)C(=O)O)O
5922,Dairy,Dairy,138-22-7,Butyl lactate,CCCCOC(=O)C(C)O
5923,Dairy,Dairy,503-74-2,Isovaleric acid,CC(C)CC(=O)O
5924,Dairy,Dairy,541-47-9,"3,3-Dimethylacrylic acid",CC(=CC(=O)O)C
5925,Dairy,Dairy,589-98-0,3-Octanol,
5926,Dairy,Dairy,592-20-1,Acetoxyacetone,CC(=O)COC(=O)C
5927,Dairy,Dairy,593-08-8,2-Tridecanone,CCCCCCCCCCCC(=O)C
5928,Dairy,Dairy,698-76-0,delta-Octalactone,CCCC1CCCC(=O)O1
5929,Dairy,Dairy,705-86-2,delta-Decalactone,CCCCCC1CCCC(=O)O1
5930,Dairy,Dairy,713-95-1,delta-Dodecalactone,CCCCCCCC1CCCC(=O)O1
5931,Dairy,Dairy,3777-71-7,2-Heptylfuran,
5932,Dairy,Dairy,6628-18-8,"1,2-Bis(methylthio)ethane",CSCCSC
5933,Dairy,Dairy,7492-70-8,"Butanoic acid, 2-butoxy-1-methyl-2-oxoethyl ester",CCCCOC(=O)C(C)OC(=O)CCC
5934,Dairy,Dairy,124-25-4,Tetradecanal,CCCCCCCCCCCCCC=O
5935,Dairy,Dairy,126-64-7,Linalyl benzoate,CC(=CCCC(C)(C=C)OC(=O)C1=CC=CC=C1)C
5936,Dairy,Dairy,106-18-3,Butyl laurate,CCCCCCCCCCCC(=O)OCCCC
5937,Dairy,Dairy,112-19-6,10-Undecen-1-yl acetate,
5938,Dairy,Dairy,591-80-0,4-Pentenoic acid,C=CCCC(=O)O
5939,Dairy,Dairy,7493-59-6,"Undecane-2,3-dione",CCCCCCCCC(=O)C(=O)C
5940,Dairy,Dairy,16400-72-9,"6-Heptyl-5,6-dihydro-2H-pyran-2-one",CCCCCCCC1CC=CC(=O)O1
5941,Dairy,Dairy,54947-74-9,4-Methyloctanoic acid,CCCCC(C)CCC(=O)O
5942,Dairy,Dairy,1534-08-3,S-Methyl thioacetate,CC(=O)SC
5943,Dairy,Dairy,7244-82-8,3-(Ethylthio)propanoic acid,CCSCCC(=O)O
5944,Dairy,Dairy,16930-93-1,"Hexa-2,4-dienyl butyrate",CCCC(=O)OCC=CC=CC
5945,Dairy,Dairy,18433-93-7,"2-Isobutyl-4-methyl-1,3-dioxolane",CC1COC(O1)CC(C)C
5946,Dairy,Dairy,14507-02-9,"Deca-2,4-dien-1-ol",CCCCCC=CC=CCO
5947,Dairy,Dairy,23747-45-7,S-Methyl 3-methylbutanethioate,CC(C)CC(=O)SC
5948,Dairy,Dairy,23147-57-1,"2,3,5,6-Tetramethyl-1,4-dioxane-2,5-diol",CC1C(OC(C(O1)(C)O)C)(C)O
5949,Dairy,Dairy,6454-22-4,"2-Hexyl-4,5-dimethyl-1,3-dioxolane",CCCCCCC1OC(C(O1)C)C
5950,Dairy,Dairy,68527-74-2,"2-Methoxy-4-(4-methyl-1,3-dioxolan-2-yl)phenol",CC1COC(O1)C2=CC(=C(C=C2)O)OC
5951,Dairy,Dairy,7370-44-7,Tetrahydro-6-undecyl-2H-pyran-2-one,CCCCCCCCCCCC1CCCC(=O)O1
5952,Dairy,Dairy,7370-92-5,6-Octyltetrahydro-2H-pyran-2-one,CCCCCCCCC1CCCC(=O)O1
